Vehicle,Timestamp,POS_X,POS_Y,POS_Z,VEL_X,VEL_Y,VEL_Z,Q_W,Q_X,Q_Y,Q_Z
Target,1766009166693,0.0,0.0,-2.311070442199707,0.0,0.0,0.0047613997012376785,-0.11420558393001556,0.0,0.0,-0.9934571385383606
Chaser,1766009166759,0.0,0.0,-0.9907541871070862,0.0,0.0,-0.3238692283630371,0.17981824278831482,0.0,0.0,-0.9836999177932739
Target,1766009166759,0.0,0.0,-2.3108627796173096,0.0,0.0,0.003914878237992525,-0.13167227804660797,0.0,0.0,-0.9912933111190796
Chaser,1766009166828,0.0,0.0,-1.0034252405166626,0.0,0.0,-0.32589077949523926,0.18093372881412506,0.0,0.0,-0.98349529504776
Target,1766009166828,0.0,0.0,-2.3107223510742188,0.0,0.0,0.003297101706266403,-0.14609786868095398,0.0,0.0,-0.9892701506614685
Chaser,1766009166889,0.0,0.0,-1.016173243522644,0.0,0.0,-0.32782161235809326,0.18188607692718506,0.0,0.0,-0.9833196401596069
Target,1766009166889,0.0,0.0,-2.3105742931365967,0.0,0.0,0.005330006126314402,-0.16003696620464325,0.0,0.0,-0.9871110320091248
Chaser,1766009166945,0.0,0.0,-1.0289949178695679,0.0,0.0,-0.3296689987182617,0.18269915878772736,0.0,0.0,-0.98316890001297
Target,1766009166945,0.0,0.0,-2.3103127479553223,0.0,0.0,0.007690541911870241,-0.17072273790836334,0.0,0.0,-0.9853191375732422
Chaser,1766009167008,0.0,0.0,-1.0389057397842407,0.0,0.0,-0.3310362696647644,0.1832428276538849,0.0,0.0,-0.9830676913261414
Target,1766009167008,0.0,0.0,-2.3100709915161133,0.0,0.0,0.008307399228215218,-0.17675858736038208,0.0,0.0,-0.9842542409896851
Chaser,1766009167061,0.0,0.0,-1.0548465251922607,0.0,0.0,-0.33313167095184326,0.18398621678352356,0.0,0.0,-0.9829288721084595
Target,1766009167061,0.0,0.0,-2.3096702098846436,0.0,0.0,0.008240367285907269,-0.1830519437789917,0.0,0.0,-0.9831032752990723
Chaser,1766009167122,0.0,0.0,-1.065863013267517,0.0,0.0,-0.3345094919204712,0.18441960215568542,0.0,0.0,-0.9828476309776306
Target,1766009167122,0.0,0.0,-2.3094046115875244,0.0,0.0,0.007840234786272049,-0.18531537055969238,0.0,0.0,-0.9826791286468506
Chaser,1766009167181,0.0,0.0,-1.0809566974639893,0.0,0.0,-0.33630961179733276,0.18492454290390015,0.0,0.0,-0.9827526807785034
Target,1766009167181,0.0,0.0,-2.309067487716675,0.0,0.0,0.00712262187153101,-0.18612021207809448,0.0,0.0,-0.9825270175933838
Chaser,1766009167238,0.0,0.0,-1.094102382659912,0.0,0.0,-0.3377993404865265,0.18529358506202698,0.0,0.0,-0.9826832413673401
Target,1766009167238,0.0,0.0,-2.308802843093872,0.0,0.0,0.00645607803016901,-0.18499933183193207,0.0,0.0,-0.9827386736869812
Chaser,1766009167298,0.0,0.0,-1.1083227396011353,0.0,0.0,-0.33933401107788086,0.1856309473514557,0.0,0.0,-0.9826195240020752
Target,1766009167298,0.0,0.0,-2.308546543121338,0.0,0.0,0.0057526384480297565,-0.18219830095767975,0.0,0.0,-0.9832618236541748
Chaser,1766009167358,0.0,0.0,-1.1226060390472412,0.0,0.0,-0.3407996892929077,0.18591555953025818,0.0,0.0,-0.9825657606124878
Target,1766009167358,0.0,0.0,-2.308319330215454,0.0,0.0,0.005089581478387117,-0.1779945343732834,0.0,0.0,-0.9840314984321594
Chaser,1766009167421,0.0,0.0,-1.1379764080047607,0.0,0.0,-0.342296838760376,0.1861712783575058,0.0,0.0,-0.9825173616409302
Target,1766009167421,0.0,0.0,-2.308105230331421,0.0,0.0,0.004434875212609768,-0.1721787005662918,0.0,0.0,-0.985065758228302
Chaser,1766009167481,0.0,0.0,-1.1503201723098755,0.0,0.0,-0.34344252943992615,0.18634483218193054,0.0,0.0,-0.9824844002723694
Target,1766009167481,0.0,0.0,-2.3079545497894287,0.0,0.0,0.003953811712563038,-0.1666957587003708,0.0,0.0,-0.9860084056854248
Chaser,1766009167540,0.0,0.0,-1.162704348564148,0.0,0.0,-0.3445439338684082,0.186494842171669,0.0,0.0,-0.9824559688568115
Target,1766009167540,0.0,0.0,-2.3078200817108154,0.0,0.0,0.00350987003184855,-0.16058041155338287,0.0,0.0,-0.9870228171348572
Chaser,1766009167596,0.0,0.0,-1.1761642694473267,0.0,0.0,-0.345689058303833,0.18663446605205536,0.0,0.0,-0.9824294447898865
Target,1766009167596,0.0,0.0,-2.307692050933838,0.0,0.0,0.0030686119571328163,-0.15333819389343262,0.0,0.0,-0.98817378282547
Chaser,1766009167656,0.0,0.0,-1.1896679401397705,0.0,0.0,-0.346786230802536,0.18675369024276733,0.0,0.0,-0.982406735420227
Target,1766009167656,0.0,0.0,-2.3075804710388184,0.0,0.0,0.0026661534793674946,-0.1455429047346115,0.0,0.0,-0.9893519878387451
