VehicleName,TimeStamp,POS_X,POS_Y,POS_Z,Q_W,Q_X,Q_Y,Q_Z
Chaser,1765460286365,0.0,0.0,-0.8637146353721619,0.9956846237182617,0.0,0.0,0.0928017720580101
Target,1765460286365,-0.8031670451164246,1.4064792394638062,-1.9705482721328735,0.9793988466262817,0.17936937510967255,0.09117671847343445,-0.017069166526198387
Chaser,1765460287163,0.0,0.0,-0.8632747530937195,0.9663439393043518,0.0,0.0,0.257253497838974
Target,1765460287163,-3.7482707500457764,7.062107563018799,-5.744027137756348,0.9933328628540039,0.10219527781009674,0.05013037100434303,-0.018246471881866455
Chaser,1765460288162,0.0,0.0,-0.8632000088691711,0.9112209677696228,0.0,0.0,0.41191792488098145
Target,1765460288162,-7.595711708068848,14.556763648986816,-10.551736831665039,0.9977026581764221,0.05926470085978508,0.027026545256376266,-0.0186168160289526
Chaser,1765460289127,0.0,0.0,-0.8631855249404907,0.8355624675750732,0.0,0.0,0.5493955612182617
Target,1765460289127,-11.638808250427246,22.430767059326172,-15.726984977722168,0.9988706111907959,0.040478747338056564,0.01631670817732811,-0.018783198669552803
Chaser,1765460290030,0.0,0.0,-0.8631849884986877,0.7463430762290955,0.0,0.0,0.6655614376068115
Target,1765460290030,-15.58950138092041,30.106252670288086,-20.919599533081055,0.9992122054100037,0.032917145639657974,0.011657251045107841,-0.018858473747968674
Chaser,1765460290881,0.0,0.0,-0.8631849884986877,0.6330348253250122,0.0,0.0,0.7741233110427856
Target,1765460290881,-19.890460968017578,38.44539260864258,-26.663455963134766,0.9993370771408081,0.0296475812792778,0.009461944922804832,-0.018895737826824188
Chaser,1765460291792,0.0,0.0,-0.8631849884986877,0.49869945645332336,0.0,0.0,0.8667749762535095
Target,1765460291792,-24.437538146972656,47.250030517578125,-32.783390045166016,0.9993818998336792,0.028379889205098152,0.008527583442628384,-0.018912505358457565
Chaser,1765460292763,0.0,0.0,-0.8631849884986877,0.369648814201355,0.0,0.0,0.9291715621948242
Target,1765460292763,-28.347686767578125,54.81616973876953,-38.06112289428711,0.9993962049484253,0.027967600151896477,0.008196260780096054,-0.018918713554739952
Chaser,1765460293579,0.0,0.0,-0.8631849884986877,0.23707355558872223,0.0,0.0,0.9714917540550232
Target,1765460293579,-32.20412063598633,62.2760009765625,-43.27070999145508,0.9994021058082581,0.02779577486217022,0.008049463853240013,-0.018921691924333572
Chaser,1765460294397,0.0,0.0,-0.8631849884986877,0.1061558872461319,0.0,0.0,0.994349479675293
Target,1765460294397,-35.831085205078125,69.29056549072266,-48.1709098815918,0.9994046688079834,0.027722099795937538,0.007984835654497147,-0.018923018127679825
